i,x,y,front_wheel_angle_rad,rear_wheel_angle_rad,longitudinal_velocity_mps,acceleration_mps2
142,-8.36604917115311,6.70392257265439,0.18629606068134308,-0.026027176529169083,2.5132250785827637,0.059978093951940536
143,-8.250362090182687,6.634165227865553,0.18167151510715485,-0.024714678525924683,2.5292460918426514,0.040811508893966675
144,-8.133911557614207,6.566355432965828,0.1770469844341278,-0.023402178660035133,2.545267105102539,0.021644921973347664
145,-7.2652513440122375,6.1225911625171,0.1436438262462616,-0.013921978883445263,2.660987138748169,-0.11679565161466599
146,-6.333907463657146,5.724938773565669,0.11024067550897598,-0.00444177957251668,2.776707172393799,-0.2552362084388733
147,-5.36003417655135,5.375169414761849,0.12936080992221832,-0.008377429097890854,2.679290533065796,-0.20867089927196503
148,-4.381460101542499,5.112219863120062,0.14897547662258148,-0.012439398095011711,2.579866886138916,-0.16036362946033478
149,-3.4025758818034313,4.940731564660331,0.16859015822410583,-0.01650136709213257,2.4804434776306152,-0.11205635219812393
150,-2.427759388683483,4.8653532147515,0.18830357491970062,-0.020687943324446678,2.3821001052856445,-0.06737501919269562
151,-1.42827389215351,4.9352497656708865,0.21447595953941345,-0.03302547708153725,2.354405403137207,-0.2598775029182434
152,-0.4178498427406936,5.1764469554433274,0.24064834415912628,-0.045363012701272964,2.3267109394073486,-0.4523800015449524
153,0.5391842451970729,5.5631858352227255,0.2668207287788391,-0.057700544595718384,2.299016237258911,-0.6448825001716614
154,1.3783166148926933,6.070553977913021,0.2828030586242676,-0.06706352531909943,2.2110040187835693,-0.7980208396911621
155,2.041331783044434,6.7773739459938005,0.19170284271240234,-0.04516829922795296,1.4891425371170044,-0.5375003218650818
156,2.5933787167346267,7.640600613366361,0.10060261934995651,-0.023273073136806488,0.7672809958457947,-0.2769797742366791
